parameter,median_delta,p95_delta,low_motion_p95_delta,sample_count
ParamAngleX,0.063322,3.543707,0.091684,174
ParamAngleY,0.054156,0.571873,0.074093,174
ParamAngleZ,0.080615,4.886311,0.107067,174
ParamBodyAngleX,0.01372,0.767803,0.019865,174
ParamBodyAngleY,0.008123,0.085781,0.011114,174
ParamBodyAngleZ,0.013436,0.814385,0.017845,174
ParamBreath,0.031349,0.051313,0.052259,174
ParamEyeBallX,0.014054,0.130419,0.022175,174
ParamEyeBallY,0.007979,0.09926,0.018124,174
ParamEyeLOpen,0.003959,0.064785,0.005331,174
ParamEyeROpen,0.004854,0.053531,0.007998,174
ParamMouthForm,0.011953,0.254594,0.041164,174
ParamMouthOpenY,0.003088,0.112264,0.013352,174
